"Time","values"
2023-12-20 07:21:15,0.100%
2023-12-20 07:21:30,0%
2023-12-20 07:21:45,0%
2023-12-20 07:22:00,0%
2023-12-20 07:22:15,0%
2023-12-20 07:22:30,0.100%
2023-12-20 07:22:45,0%
2023-12-20 07:23:00,0%
2023-12-20 07:23:15,0%
2023-12-20 07:23:30,0%
2023-12-20 07:23:45,0%
2023-12-20 07:24:00,0%
2023-12-20 07:24:15,0.100%
2023-12-20 07:24:30,0%
2023-12-20 07:24:45,0.100%
2023-12-20 07:25:00,0%
2023-12-20 07:25:15,0%
2023-12-20 07:25:30,0%
2023-12-20 07:25:45,0%
2023-12-20 07:26:00,0%
2023-12-20 07:26:15,0%
2023-12-20 07:26:30,0%
2023-12-20 07:26:45,0.100%
2023-12-20 07:27:00,0%
2023-12-20 07:27:15,0%
2023-12-20 07:27:30,0.100%
2023-12-20 07:27:45,0%
2023-12-20 07:28:00,0%
2023-12-20 07:28:15,0%
2023-12-20 07:28:30,0%
2023-12-20 07:28:45,0%
2023-12-20 07:29:00,0%
2023-12-20 07:29:15,0.100%
2023-12-20 07:29:30,0%
2023-12-20 07:29:45,0%
2023-12-20 07:30:00,0%
2023-12-20 07:30:15,0%
2023-12-20 07:30:30,0%
2023-12-20 07:30:45,0%
2023-12-20 07:31:00,0%
2023-12-20 07:31:15,0%
2023-12-20 07:31:30,0.100%
2023-12-20 07:31:45,0%
2023-12-20 07:32:00,0%
2023-12-20 07:32:15,0%
2023-12-20 07:32:30,0%
2023-12-20 07:32:45,0%
2023-12-20 07:33:00,0%
2023-12-20 07:33:15,0%
2023-12-20 07:33:30,0%
2023-12-20 07:33:45,0%
2023-12-20 07:34:00,0%
2023-12-20 07:34:15,0.100%
2023-12-20 07:34:30,0%
2023-12-20 07:34:45,0%
2023-12-20 07:35:00,0%
2023-12-20 07:35:15,0%
2023-12-20 07:35:30,0.200%
2023-12-20 07:35:45,0%
2023-12-20 07:36:00,0%
2023-12-20 07:36:15,0%
2023-12-20 07:36:30,0%
2023-12-20 07:36:45,0%
2023-12-20 07:37:00,0%
2023-12-20 07:37:15,0%
2023-12-20 07:37:30,0%
2023-12-20 07:37:45,0%
2023-12-20 07:38:00,0.100%
2023-12-20 07:38:15,0%
2023-12-20 07:38:30,0%
2023-12-20 07:38:45,0%
2023-12-20 07:39:00,0%
2023-12-20 07:39:15,0%
2023-12-20 07:39:30,0%
2023-12-20 07:39:45,0%
2023-12-20 07:40:00,0%
2023-12-20 07:40:15,0.100%
2023-12-20 07:40:30,0%
2023-12-20 07:40:45,0%
2023-12-20 07:41:00,0%
2023-12-20 07:41:15,0%
2023-12-20 07:41:30,0%
2023-12-20 07:41:45,0%
2023-12-20 07:42:00,0.100%
2023-12-20 07:42:15,0%
2023-12-20 07:42:30,0%
2023-12-20 07:42:45,0%
2023-12-20 07:43:00,0%
2023-12-20 07:43:15,0%
2023-12-20 07:43:30,0%
2023-12-20 07:43:45,0%
2023-12-20 07:44:00,0%
2023-12-20 07:44:15,0%
2023-12-20 07:44:30,0%
2023-12-20 07:44:45,0%
2023-12-20 07:45:00,0%
2023-12-20 07:45:15,0%
2023-12-20 07:45:30,0%
2023-12-20 07:45:45,0%
2023-12-20 07:46:00,0.200%
2023-12-20 07:46:15,0%
2023-12-20 07:46:30,0%
2023-12-20 07:46:45,0%
2023-12-20 07:47:00,0%
2023-12-20 07:47:15,0%
2023-12-20 07:47:30,0%
2023-12-20 07:47:45,0%
2023-12-20 07:48:00,0%
2023-12-20 07:48:15,0%
2023-12-20 07:48:30,0%
2023-12-20 07:48:45,0%
2023-12-20 07:49:00,0%
2023-12-20 07:49:15,0%
2023-12-20 07:49:30,0%
2023-12-20 07:49:45,0%
2023-12-20 07:50:00,0%
2023-12-20 07:50:15,0%
2023-12-20 07:50:30,0%
2023-12-20 07:50:45,0%
2023-12-20 07:51:00,0%
2023-12-20 07:51:15,0%
2023-12-20 07:51:30,0%
2023-12-20 07:51:45,0%
2023-12-20 07:52:00,0%
2023-12-20 07:52:15,0%
2023-12-20 07:52:30,0%
2023-12-20 07:52:45,0%
