"Time","values"
2023-12-20 07:50:30,75.29 ms
2023-12-20 07:51:00,82.46 ms
2023-12-20 07:51:30,84.33 ms
2023-12-20 07:52:00,76.95 ms
2023-12-20 07:52:30,70.45 ms
2023-12-20 07:53:00,84.71 ms
2023-12-20 07:53:30,70.74 ms
2023-12-20 07:54:00,61.54 ms
2023-12-20 07:54:30,59.82 ms
2023-12-20 07:55:00,68.15 ms
2023-12-20 07:55:30,61.50 ms
2023-12-20 07:56:00,69.76 ms
2023-12-20 07:56:30,59.45 ms
2023-12-20 07:57:00,48.88 ms
2023-12-20 07:57:30,58.44 ms
2023-12-20 07:58:00,57.46 ms
2023-12-20 07:58:30,45.45 ms
2023-12-20 07:59:00,48.24 ms
2023-12-20 07:59:30,46.29 ms
2023-12-20 08:00:00,43.50 ms
2023-12-20 08:00:30,41.49 ms
2023-12-20 08:01:00,41.35 ms
2023-12-20 08:01:30,43.28 ms
2023-12-20 08:02:00,39.76 ms
2023-12-20 08:02:30,39.07 ms
2023-12-20 08:03:00,48.87 ms
2023-12-20 08:03:30,44.01 ms
2023-12-20 08:04:00,41.89 ms
2023-12-20 08:04:30,37.53 ms
2023-12-20 08:05:00,45.31 ms
2023-12-20 08:05:30,43.37 ms
2023-12-20 08:06:00,44.44 ms
2023-12-20 08:06:30,37.44 ms
2023-12-20 08:07:00,41.47 ms
2023-12-20 08:07:30,37.68 ms
2023-12-20 08:08:00,38.69 ms
2023-12-20 08:08:30,48.00 ms
2023-12-20 08:09:00,51.09 ms
2023-12-20 08:09:30,51.22 ms
2023-12-20 08:10:00,41.12 ms
2023-12-20 08:10:30,50.14 ms
2023-12-20 08:11:00,52.80 ms
2023-12-20 08:11:30,43.60 ms
2023-12-20 08:12:00,44.78 ms
2023-12-20 08:12:30,46.37 ms
2023-12-20 08:13:00,46.94 ms
2023-12-20 08:13:30,50.95 ms
2023-12-20 08:14:00,47.14 ms
2023-12-20 08:14:30,51.91 ms
2023-12-20 08:15:00,55.82 ms
2023-12-20 08:15:30,55.11 ms
