"Time","values"
2023-12-20 07:51:00,14.60 ms
2023-12-20 07:51:30,20.57 ms
2023-12-20 07:52:00,18.63 ms
2023-12-20 07:52:30,32.59 ms
2023-12-20 07:53:00,13.81 ms
2023-12-20 07:53:30,17.45 ms
2023-12-20 07:54:00,23.70 ms
2023-12-20 07:54:30,16.52 ms
2023-12-20 07:55:00,13.26 ms
2023-12-20 07:55:30,14.68 ms
2023-12-20 07:56:00,18.12 ms
2023-12-20 07:56:30,16.96 ms
2023-12-20 07:57:00,14.30 ms
2023-12-20 07:57:30,16.28 ms
2023-12-20 07:58:00,15.40 ms
2023-12-20 07:58:30,21.68 ms
2023-12-20 07:59:00,17.06 ms
2023-12-20 07:59:30,16.63 ms
2023-12-20 08:00:00,22.37 ms
2023-12-20 08:00:30,11.67 ms
2023-12-20 08:01:00,14.91 ms
2023-12-20 08:01:30,11.15 ms
2023-12-20 08:02:00,10.36 ms
2023-12-20 08:02:30,17.55 ms
2023-12-20 08:03:00,12.27 ms
2023-12-20 08:03:30,17.08 ms
2023-12-20 08:04:00,9.29 ms
2023-12-20 08:04:30,11.43 ms
2023-12-20 08:05:00,18.60 ms
2023-12-20 08:05:30,8.31 ms
2023-12-20 08:06:00,10.06 ms
2023-12-20 08:06:30,10.94 ms
2023-12-20 08:07:00,15.47 ms
2023-12-20 08:07:30,13.12 ms
2023-12-20 08:08:00,9.31 ms
2023-12-20 08:08:30,11.06 ms
2023-12-20 08:09:00,11.47 ms
2023-12-20 08:09:30,10.98 ms
2023-12-20 08:10:00,11.18 ms
2023-12-20 08:10:30,14.88 ms
2023-12-20 08:11:00,11.75 ms
2023-12-20 08:11:30,11.67 ms
2023-12-20 08:12:00,18.40 ms
2023-12-20 08:12:30,12.43 ms
2023-12-20 08:13:00,15.84 ms
2023-12-20 08:13:30,11.67 ms
2023-12-20 08:14:00,9.57 ms
2023-12-20 08:14:30,10.97 ms
2023-12-20 08:15:00,9.01 ms
2023-12-20 08:15:30,10.64 ms
2023-12-20 08:16:00,9.45 ms
2023-12-20 08:16:30,15.48 ms
2023-12-20 08:17:00,14.69 ms
2023-12-20 08:17:30,12.96 ms
2023-12-20 08:18:00,20.12 ms
2023-12-20 08:18:30,11.07 ms
2023-12-20 08:19:00,26.09 ms
2023-12-20 08:19:30,13.97 ms
2023-12-20 08:20:00,16.67 ms
2023-12-20 08:20:30,17.29 ms
2023-12-20 08:21:00,24.03 ms
2023-12-20 08:21:30,25.91 ms
2023-12-20 08:22:00,16.37 ms
2023-12-20 08:22:30,32.93 ms
2023-12-20 08:23:00,18.82 ms
2023-12-20 08:23:30,27.40 ms
2023-12-20 08:24:00,24.15 ms
2023-12-20 08:24:30,42.86 ms
2023-12-20 08:25:00,21.48 ms
2023-12-20 08:25:30,31.49 ms
2023-12-20 08:26:00,17.94 ms
2023-12-20 08:26:30,49.22 ms
2023-12-20 08:27:00,29.35 ms
2023-12-20 08:27:30,39.20 ms
2023-12-20 08:28:00,43.33 ms
2023-12-20 08:28:30,41.19 ms
2023-12-20 08:29:00,45.32 ms
2023-12-20 08:29:30,32.80 ms
2023-12-20 08:30:00,51.38 ms
2023-12-20 08:30:30,73.67 ms
2023-12-20 08:31:00,26.39 ms
2023-12-20 08:31:30,39.46 ms
2023-12-20 08:32:00,40.47 ms
2023-12-20 08:32:30,29.27 ms
2023-12-20 08:33:00,48.56 ms
2023-12-20 08:33:30,51.40 ms
2023-12-20 08:34:00,51.12 ms
2023-12-20 08:34:30,37.73 ms
2023-12-20 08:35:00,18.68 ms
