index,delay,jitter,loss,ssim
146,0ms,200ms,3.0%,0.844
147,10ms,0ms,0.0%,0.997
148,10ms,0ms,0.5%,0.891
149,10ms,0ms,1.0%,0.968
150,10ms,0ms,1.5%,0.996
151,10ms,0ms,2.0%,0.971
152,10ms,0ms,2.5%,0.981
153,10ms,0ms,3.0%,0.959
154,10ms,10ms,0.0%,0.937
155,10ms,10ms,0.5%,0.937
156,10ms,10ms,1.0%,0.93
157,10ms,10ms,1.5%,0.881
158,10ms,10ms,2.0%,0.95
159,10ms,10ms,2.5%,0.926
160,10ms,10ms,3.0%,0.94
161,10ms,20ms,0.0%,0.945
162,10ms,20ms,0.5%,0.995
163,10ms,20ms,1.0%,0.921
164,10ms,20ms,1.5%,0.865
165,10ms,20ms,2.0%,0.945
166,10ms,20ms,2.5%,0.936
167,10ms,0ms,0.0%,0.969
168,10ms,0ms,0.5%,0.962
169,10ms,0ms,1.0%,0.992
170,10ms,0ms,1.5%,0.932
171,10ms,0ms,2.0%,0.886
172,10ms,0ms,2.5%,0.838
173,10ms,0ms,3.0%,0.877
174,10ms,10ms,0.0%,0.974
175,10ms,10ms,0.5%,0.937
176,10ms,10ms,1.0%,0.877
177,10ms,10ms,1.5%,0.937
178,10ms,10ms,2.0%,0.935
179,10ms,10ms,2.5%,0.935
180,10ms,10ms,3.0%,0.861
181,10ms,20ms,0.0%,0.937
182,10ms,20ms,0.5%,0.936
183,10ms,20ms,1.0%,0.935
184,10ms,20ms,1.5%,0.931
185,10ms,20ms,2.0%,0.921
186,10ms,20ms,2.5%,0.932
187,10ms,20ms,3.0%,0.936
188,10ms,30ms,0.0%,0.944
189,10ms,30ms,0.5%,0.937
190,10ms,30ms,1.0%,0.942
191,10ms,30ms,1.5%,0.989
192,10ms,30ms,2.0%,0.929
193,10ms,30ms,2.5%,0.936
194,10ms,30ms,3.0%,0.935
195,10ms,40ms,0.0%,0.972
196,10ms,40ms,0.5%,0.946
197,10ms,40ms,1.0%,0.884
198,10ms,40ms,1.5%,0.794
199,10ms,40ms,2.0%,0.925
200,10ms,40ms,2.5%,0.942
201,10ms,40ms,3.0%,0.935
202,10ms,50ms,0.0%,0.937
203,10ms,50ms,0.5%,0.967
204,10ms,50ms,1.0%,0.944
205,10ms,50ms,1.5%,0.97
206,10ms,50ms,2.0%,0.948
207,10ms,50ms,2.5%,0.778
208,10ms,50ms,3.0%,0.88
209,10ms,60ms,0.0%,0.937
210,10ms,60ms,0.5%,0.967
211,10ms,60ms,1.0%,0.991
212,10ms,60ms,1.5%,0.936
213,10ms,60ms,2.0%,0.941
214,10ms,60ms,2.5%,0.932
215,10ms,60ms,3.0%,0.691
216,10ms,70ms,0.0%,0.997
217,10ms,70ms,0.5%,0.971
218,10ms,70ms,1.0%,0.937
219,10ms,70ms,1.5%,0.934
220,10ms,70ms,2.0%,0.891
221,10ms,70ms,2.5%,0.881
222,10ms,70ms,3.0%,0.91
223,10ms,80ms,0.0%,0.97
224,10ms,80ms,0.5%,0.945
225,10ms,80ms,1.0%,0.999
226,10ms,80ms,1.5%,0.936
227,10ms,80ms,2.0%,0.934
228,10ms,80ms,2.5%,0.945
229,10ms,80ms,3.0%,0.906
230,10ms,90ms,0.0%,0.97
231,10ms,90ms,0.5%,0.97
232,10ms,90ms,1.0%,0.937
233,10ms,90ms,1.5%,0.93
234,10ms,90ms,2.0%,0.944
235,10ms,90ms,2.5%,0.893
236,10ms,90ms,3.0%,0.832
237,10ms,100ms,0.0%,0.938
238,10ms,100ms,0.5%,0.927
239,10ms,100ms,1.0%,0.865
240,10ms,100ms,1.5%,0.869
241,10ms,100ms,2.0%,0.837
242,10ms,100ms,2.5%,0.936
243,10ms,100ms,3.0%,0.694
244,10ms,110ms,0.0%,0.886
245,10ms,110ms,0.5%,0.862
246,10ms,110ms,1.0%,0.752
247,10ms,110ms,1.5%,0.933
248,10ms,110ms,2.0%,0.808
249,10ms,110ms,2.5%,0.861
250,10ms,110ms,3.0%,0.964
251,10ms,120ms,0.0%,0.877
252,10ms,120ms,0.5%,0.761
253,10ms,120ms,1.0%,0.86
254,10ms,120ms,1.5%,0.931
255,10ms,120ms,2.0%,0.752
256,10ms,120ms,2.5%,0.685
257,10ms,120ms,3.0%,0.814
258,10ms,130ms,0.0%,0.686
259,10ms,130ms,0.5%,0.859
260,10ms,130ms,1.0%,0.917
261,10ms,130ms,1.5%,0.738
262,10ms,130ms,2.0%,0.875
263,10ms,130ms,2.5%,0.879
264,10ms,130ms,3.0%,0.728
265,10ms,140ms,0.0%,0.901
266,10ms,140ms,0.5%,0.722
267,10ms,140ms,1.0%,0.934
