index,delay,jitter,loss,ssim
732,40ms,170ms,3.0%,0.685
733,40ms,180ms,0.0%,0.693
734,40ms,180ms,0.5%,0.685
735,40ms,180ms,1.0%,0.689
736,40ms,180ms,1.5%,0.646
737,40ms,180ms,2.0%,0.699
738,40ms,180ms,2.5%,0.854
739,40ms,180ms,3.0%,0.906
740,40ms,190ms,0.0%,0.678
741,40ms,190ms,0.5%,0.719
742,40ms,190ms,1.0%,0.713
743,40ms,190ms,1.5%,0.67
744,40ms,190ms,2.0%,0.704
745,40ms,190ms,2.5%,0.673
746,40ms,190ms,3.0%,0.734
747,40ms,200ms,0.0%,0.683
748,40ms,200ms,0.5%,0.688
749,40ms,200ms,1.0%,0.781
750,40ms,200ms,1.5%,0.743
751,40ms,200ms,2.0%,0.812
752,40ms,200ms,2.5%,0.686
753,40ms,200ms,3.0%,0.675
754,50ms,0ms,0.0%,0.937
755,50ms,0ms,0.5%,0.967
756,50ms,0ms,1.0%,0.995
757,50ms,0ms,1.5%,0.963
758,50ms,0ms,2.0%,0.971
759,50ms,0ms,2.5%,0.991
760,50ms,0ms,3.0%,0.805
761,50ms,10ms,0.0%,0.937
762,50ms,10ms,0.5%,0.945
763,50ms,10ms,1.0%,0.79
764,50ms,10ms,1.5%,0.946
765,50ms,10ms,2.0%,0.941
766,50ms,10ms,2.5%,0.889
767,50ms,10ms,3.0%,0.827
768,50ms,20ms,0.0%,0.937
769,50ms,20ms,0.5%,0.902
770,50ms,20ms,1.0%,0.937
771,50ms,20ms,1.5%,0.888
772,50ms,20ms,2.0%,0.936
773,50ms,20ms,2.5%,0.891
774,50ms,20ms,3.0%,0.856
775,50ms,30ms,0.0%,0.945
776,50ms,30ms,0.5%,0.944
777,50ms,30ms,1.0%,0.889
778,50ms,30ms,1.5%,0.936
779,50ms,30ms,2.0%,0.921
780,50ms,30ms,2.5%,0.933
781,50ms,30ms,3.0%,0.948
782,50ms,40ms,0.0%,0.948
783,50ms,40ms,0.5%,0.937
784,50ms,40ms,1.0%,0.912
785,50ms,40ms,1.5%,0.938
786,50ms,40ms,2.0%,0.83
787,50ms,40ms,2.5%,0.798
788,50ms,40ms,3.0%,0.89
789,50ms,50ms,0.0%,0.945
790,50ms,50ms,0.5%,0.947
791,50ms,50ms,1.0%,0.945
792,50ms,50ms,1.5%,0.937
793,50ms,50ms,2.0%,0.945
794,50ms,50ms,2.5%,0.938
795,50ms,50ms,3.0%,0.872
796,50ms,60ms,0.0%,0.937
797,50ms,60ms,0.5%,0.924
798,50ms,60ms,1.0%,0.886
799,50ms,60ms,1.5%,0.9
800,50ms,60ms,2.0%,0.935
801,50ms,60ms,2.5%,0.94
802,50ms,60ms,3.0%,0.853
803,50ms,70ms,0.0%,0.943
804,50ms,70ms,0.5%,0.887
805,50ms,70ms,1.0%,0.897
806,50ms,70ms,1.5%,0.943
807,50ms,70ms,2.0%,0.936
808,50ms,70ms,2.5%,0.878
809,50ms,70ms,3.0%,0.888
810,50ms,80ms,0.0%,0.914
811,50ms,80ms,0.5%,0.942
812,50ms,80ms,1.0%,0.855
813,50ms,80ms,1.5%,0.861
814,50ms,80ms,2.0%,0.796
815,50ms,80ms,2.5%,0.809
816,50ms,80ms,3.0%,0.873
817,50ms,90ms,0.0%,0.891
818,50ms,90ms,0.5%,0.758
819,50ms,90ms,1.0%,0.787
820,50ms,90ms,1.5%,0.74
821,50ms,90ms,2.0%,0.971
822,50ms,90ms,2.5%,0.908
823,50ms,90ms,3.0%,0.891
824,50ms,100ms,0.0%,0.746
825,50ms,100ms,0.5%,0.701
826,50ms,100ms,1.0%,0.883
827,50ms,100ms,1.5%,0.756
828,50ms,100ms,2.0%,0.776
829,50ms,100ms,2.5%,0.898
830,50ms,100ms,3.0%,0.726
831,50ms,110ms,0.0%,0.852
832,50ms,110ms,0.5%,0.851
833,50ms,110ms,1.0%,0.937
834,50ms,110ms,1.5%,0.93
835,50ms,110ms,2.0%,0.787
836,50ms,110ms,2.5%,0.737
837,50ms,110ms,3.0%,0.822
838,50ms,120ms,0.0%,0.693
839,50ms,120ms,0.5%,0.818
840,50ms,120ms,1.0%,0.859
841,50ms,120ms,1.5%,0.815
842,50ms,120ms,2.0%,0.72
843,50ms,120ms,2.5%,0.737
844,50ms,120ms,3.0%,0.762
845,50ms,130ms,0.0%,0.695
846,50ms,130ms,0.5%,0.845
847,50ms,130ms,1.0%,0.891
848,50ms,130ms,1.5%,0.867
849,50ms,130ms,2.0%,0.717
850,50ms,130ms,2.5%,0.74
851,50ms,130ms,3.0%,0.774
852,50ms,140ms,0.0%,0.708
853,50ms,140ms,0.5%,0.865
854,50ms,140ms,1.0%,0.736
855,50ms,140ms,1.5%,0.691
856,50ms,140ms,2.0%,0.691
857,50ms,140ms,2.5%,0.854
858,50ms,140ms,3.0%,0.689
859,50ms,150ms,0.0%,0.945
860,50ms,150ms,0.5%,0.667
861,50ms,150ms,1.0%,0.743
862,50ms,150ms,1.5%,0.786
863,50ms,150ms,2.0%,0.782
864,50ms,150ms,2.5%,0.687
865,50ms,150ms,3.0%,0.741
866,50ms,160ms,0.0%,0.733
867,50ms,160ms,0.5%,0.656
868,50ms,160ms,1.0%,0.793
869,50ms,160ms,1.5%,0.686
870,50ms,160ms,2.0%,0.69
871,50ms,160ms,2.5%,0.743
872,50ms,160ms,3.0%,0.789
873,50ms,170ms,0.0%,0.725
874,50ms,170ms,0.5%,0.659
875,50ms,170ms,1.0%,0.947
876,50ms,170ms,1.5%,0.797
877,50ms,170ms,2.0%,0.704
878,50ms,170ms,2.5%,0.718
879,50ms,170ms,3.0%,0.71
880,50ms,180ms,0.0%,0.615
881,50ms,180ms,0.5%,0.687
882,50ms,180ms,1.0%,0.725
883,50ms,180ms,1.5%,0.702
884,50ms,180ms,2.0%,0.682
885,50ms,180ms,2.5%,0.831
886,50ms,180ms,3.0%,0.66
887,50ms,190ms,0.0%,0.681
888,50ms,190ms,0.5%,0.686
889,50ms,190ms,1.0%,0.678
890,50ms,190ms,1.5%,0.74
891,50ms,190ms,2.0%,0.776
892,50ms,190ms,2.5%,0.684
893,50ms,190ms,3.0%,0.682
894,50ms,200ms,0.5%,0.675
895,50ms,200ms,1.0%,0.691
896,50ms,200ms,1.5%,0.708
897,50ms,200ms,2.0%,0.687
898,50ms,200ms,2.5%,0.645
899,50ms,200ms,3.0%,0.714
900,60ms,0ms,0.0%,0.997
901,60ms,0ms,0.5%,0.943
902,60ms,0ms,1.0%,0.994
903,60ms,0ms,1.5%,0.994
904,60ms,0ms,2.0%,0.962
905,60ms,0ms,2.5%,0.936
906,60ms,0ms,3.0%,0.91
907,60ms,10ms,0.0%,0.945
908,60ms,10ms,0.5%,0.937
909,60ms,10ms,1.0%,0.941
910,60ms,10ms,1.5%,0.936
911,60ms,10ms,2.0%,0.967
912,60ms,10ms,2.5%,0.932
913,60ms,10ms,3.0%,0.812
914,60ms,20ms,0.0%,0.937
915,60ms,20ms,0.5%,0.936
916,60ms,20ms,1.0%,0.89
917,60ms,20ms,1.5%,0.93
918,60ms,20ms,2.0%,0.933
919,60ms,20ms,2.5%,0.89
920,60ms,20ms,3.0%,0.88
921,60ms,30ms,0.0%,0.937
922,60ms,30ms,0.5%,0.998
923,60ms,30ms,1.0%,0.943
924,60ms,30ms,1.5%,0.936
925,60ms,30ms,2.0%,0.934
926,60ms,30ms,2.5%,0.941
927,60ms,30ms,3.0%,0.851
928,60ms,40ms,0.0%,0.945
929,60ms,40ms,0.5%,0.967
930,60ms,40ms,1.0%,0.932
931,60ms,40ms,1.5%,0.939
932,60ms,40ms,2.0%,0.717
933,60ms,40ms,2.5%,0.944
934,60ms,40ms,3.0%,0.932
935,60ms,50ms,0.0%,0.937
936,60ms,50ms,0.5%,0.937
937,60ms,50ms,1.0%,0.873
938,60ms,50ms,1.5%,0.948
939,60ms,50ms,2.0%,0.882
940,60ms,50ms,2.5%,0.784
941,60ms,50ms,3.0%,0.938
942,60ms,60ms,0.0%,0.937
943,60ms,60ms,0.5%,0.863
944,60ms,60ms,1.0%,0.945
945,60ms,60ms,1.5%,0.908
946,60ms,60ms,2.0%,0.948
947,60ms,60ms,2.5%,0.842
948,60ms,60ms,3.0%,0.951
949,60ms,70ms,0.0%,0.907
950,60ms,70ms,0.5%,0.951
951,60ms,70ms,1.0%,0.936
952,60ms,70ms,1.5%,0.928
953,60ms,70ms,2.0%,0.93
954,60ms,70ms,2.5%,0.797
955,60ms,70ms,3.0%,0.861
956,60ms,80ms,0.0%,0.925
957,60ms,80ms,0.5%,0.937
958,60ms,80ms,1.0%,0.921
959,60ms,80ms,1.5%,0.891
960,60ms,80ms,2.0%,0.884
961,60ms,80ms,2.5%,0.898
962,60ms,80ms,3.0%,0.929
963,60ms,90ms,0.0%,0.934
964,60ms,90ms,0.5%,0.678
965,60ms,90ms,1.0%,0.77
966,60ms,90ms,1.5%,0.948
967,60ms,90ms,2.0%,0.795
968,60ms,90ms,2.5%,0.9
969,60ms,90ms,3.0%,0.78
970,60ms,100ms,0.0%,0.808
971,60ms,100ms,0.5%,0.89
972,60ms,100ms,1.0%,0.728
973,60ms,100ms,1.5%,0.725
974,60ms,100ms,2.0%,0.858
975,60ms,100ms,2.5%,0.735
976,60ms,100ms,3.0%,0.688
977,60ms,110ms,0.0%,0.859
978,60ms,110ms,0.5%,0.803
979,60ms,110ms,1.0%,0.677
980,60ms,110ms,1.5%,0.748
981,60ms,110ms,2.0%,0.832
982,60ms,110ms,2.5%,0.747
983,60ms,110ms,3.0%,0.678
984,60ms,120ms,0.0%,0.804
985,60ms,120ms,0.5%,0.696
986,60ms,120ms,1.0%,0.825
987,60ms,120ms,1.5%,0.929
988,60ms,120ms,2.0%,0.924
989,60ms,120ms,2.5%,0.795
990,60ms,120ms,3.0%,0.857
991,60ms,130ms,0.0%,0.739
992,60ms,130ms,0.5%,0.749
993,60ms,130ms,1.0%,0.786
994,60ms,130ms,1.5%,0.798
995,60ms,130ms,2.0%,0.782
996,60ms,130ms,2.5%,0.815
997,60ms,130ms,3.0%,0.696
998,60ms,140ms,0.0%,0.654
999,60ms,140ms,0.5%,0.704
1000,60ms,140ms,1.0%,0.926
1001,60ms,140ms,1.5%,0.685
1002,60ms,140ms,2.0%,0.73
1003,60ms,140ms,2.5%,0.682
1004,60ms,140ms,3.0%,0.876
1005,60ms,150ms,0.0%,0.666
1006,60ms,150ms,0.5%,0.725
1007,60ms,150ms,1.0%,0.757
1008,60ms,150ms,1.5%,0.68
1009,60ms,150ms,2.0%,0.793
1010,60ms,150ms,2.5%,0.701
1011,60ms,150ms,3.0%,0.78
1012,60ms,160ms,0.0%,0.791
1013,60ms,160ms,0.5%,0.762
1014,60ms,160ms,1.0%,0.689
1015,60ms,160ms,1.5%,0.69
1016,60ms,160ms,2.0%,0.773
1017,60ms,160ms,2.5%,0.676
1018,60ms,160ms,3.0%,0.633
1019,60ms,170ms,0.0%,0.714
1020,60ms,170ms,0.5%,0.742
1021,60ms,170ms,1.0%,0.731
1022,60ms,170ms,1.5%,0.786
1023,60ms,170ms,2.0%,0.677
1024,60ms,170ms,3.0%,0.679
1025,60ms,180ms,0.0%,0.776
1026,60ms,180ms,0.5%,0.653
1027,60ms,180ms,1.0%,0.778
1028,60ms,180ms,1.5%,0.892
1029,60ms,180ms,2.0%,0.768
1030,60ms,180ms,2.5%,0.674
1031,60ms,180ms,3.0%,0.588
1032,60ms,190ms,0.0%,0.784
1033,60ms,190ms,0.5%,0.724
1034,60ms,190ms,1.0%,0.723
1035,60ms,190ms,1.5%,0.685
1036,60ms,190ms,2.0%,0.767
1037,60ms,190ms,2.5%,0.702
1038,60ms,190ms,3.0%,0.734
1039,60ms,200ms,0.0%,0.709
1040,60ms,200ms,0.5%,0.679
1041,60ms,200ms,1.0%,0.816
1042,60ms,200ms,1.5%,0.693
1043,60ms,200ms,2.0%,0.758
1044,60ms,200ms,2.5%,0.66
1045,60ms,200ms,3.0%,0.702
1046,70ms,0ms,0.0%,0.937
1047,70ms,0ms,0.5%,0.937
1048,70ms,0ms,1.0%,0.936
1049,70ms,0ms,1.5%,0.996
1050,70ms,0ms,2.0%,0.935
1051,70ms,0ms,2.5%,0.969
1052,70ms,0ms,3.0%,0.862
1053,70ms,10ms,0.0%,0.969
1054,70ms,10ms,0.5%,0.944
1055,70ms,10ms,1.0%,0.886
1056,70ms,10ms,1.5%,0.997
1057,70ms,10ms,2.0%,0.936
1058,70ms,10ms,2.5%,0.965
1059,70ms,10ms,3.0%,0.955
1060,70ms,20ms,0.0%,0.969
1061,70ms,20ms,0.5%,0.935
1062,70ms,20ms,1.0%,0.946
1063,70ms,20ms,1.5%,0.891
1064,70ms,20ms,2.0%,0.933
1065,70ms,20ms,2.5%,0.909
1066,70ms,20ms,3.0%,0.858
1067,70ms,30ms,0.0%,0.937
1068,70ms,30ms,0.5%,0.923
1069,70ms,30ms,1.0%,0.937
1070,70ms,30ms,1.5%,0.946
1071,70ms,30ms,2.0%,0.941
1072,70ms,30ms,2.5%,0.812
1073,70ms,30ms,3.0%,0.93
1074,70ms,40ms,0.0%,0.937
1075,70ms,40ms,0.5%,0.939
1076,70ms,40ms,1.0%,0.948
1077,70ms,40ms,1.5%,0.935
1078,70ms,40ms,2.0%,0.775
1079,70ms,40ms,2.5%,0.87
1080,70ms,40ms,3.0%,0.843
1081,70ms,50ms,0.0%,0.947
1082,70ms,50ms,0.5%,0.948
1083,70ms,50ms,1.0%,0.945
1084,70ms,50ms,1.5%,0.928
1085,70ms,50ms,2.0%,0.944
1086,70ms,50ms,2.5%,0.942
1087,70ms,50ms,3.0%,0.942
1088,70ms,60ms,0.0%,0.937
1089,70ms,60ms,0.5%,0.946
1090,70ms,60ms,1.0%,0.919
1091,70ms,60ms,1.5%,0.942
1092,70ms,60ms,2.0%,0.931
1093,70ms,60ms,2.5%,0.901
1094,70ms,60ms,3.0%,0.9
1095,70ms,70ms,0.0%,0.862
1096,70ms,70ms,0.5%,0.863
1097,70ms,70ms,1.0%,0.948
1098,70ms,70ms,1.5%,0.942
1099,70ms,70ms,2.0%,0.889
1100,70ms,70ms,2.5%,0.927
1101,70ms,70ms,3.0%,0.89
1102,70ms,80ms,0.0%,0.945
1103,70ms,80ms,0.5%,0.875
1104,70ms,80ms,1.0%,0.934
1105,70ms,80ms,1.5%,0.896
1106,70ms,80ms,2.0%,0.934
1107,70ms,80ms,2.5%,0.937
1108,70ms,80ms,3.0%,0.834
1109,70ms,90ms,0.0%,0.859
1110,70ms,90ms,0.5%,0.926
1111,70ms,90ms,1.0%,0.679
1112,70ms,90ms,1.5%,0.707
1113,70ms,90ms,2.0%,0.794
1114,70ms,90ms,2.5%,0.921
1115,70ms,90ms,3.0%,0.789
1116,70ms,100ms,0.0%,0.851
1117,70ms,100ms,0.5%,0.827
1118,70ms,100ms,1.0%,0.742
1119,70ms,100ms,1.5%,0.756
1120,70ms,100ms,2.0%,0.738
1121,70ms,100ms,2.5%,0.744
1122,70ms,100ms,3.0%,0.774
1123,70ms,110ms,0.0%,0.931
1124,70ms,110ms,0.5%,0.864
1125,70ms,110ms,1.0%,0.781
1126,70ms,110ms,1.5%,0.728
1127,70ms,110ms,2.0%,0.792
1128,70ms,110ms,2.5%,0.687
1129,70ms,110ms,3.0%,0.767
1130,70ms,120ms,0.0%,0.776
1131,70ms,120ms,0.5%,0.89
1132,70ms,120ms,1.0%,0.687
1133,70ms,120ms,1.5%,0.661
1134,70ms,120ms,2.0%,0.72
1135,70ms,120ms,2.5%,0.713
1136,70ms,120ms,3.0%,0.682
1137,70ms,130ms,0.0%,0.84
1138,70ms,130ms,0.5%,0.747
1139,70ms,130ms,1.0%,0.814
1140,70ms,130ms,1.5%,0.692
1141,70ms,130ms,2.0%,0.857
1142,70ms,130ms,2.5%,0.867
1143,70ms,130ms,3.0%,0.714
1144,70ms,140ms,0.0%,0.842
1145,70ms,140ms,0.5%,0.662
1146,70ms,140ms,1.0%,0.726
1147,70ms,140ms,1.5%,0.839
1148,70ms,140ms,2.0%,0.913
1149,70ms,140ms,2.5%,0.614
1150,70ms,140ms,3.0%,0.878
1151,70ms,150ms,0.0%,0.719
1152,70ms,150ms,0.5%,0.712
1153,70ms,150ms,1.0%,0.781
1154,70ms,150ms,1.5%,0.836
1155,70ms,150ms,2.0%,0.732
1156,70ms,150ms,2.5%,0.926
1157,70ms,150ms,3.0%,0.683
1158,70ms,160ms,0.0%,0.711
1159,70ms,160ms,0.5%,0.762
1160,70ms,160ms,1.0%,0.711
1161,70ms,160ms,1.5%,0.719
1162,70ms,160ms,2.0%,0.691
1163,70ms,160ms,2.5%,0.708
1164,70ms,160ms,3.0%,0.682
1165,70ms,170ms,0.0%,0.701
1166,70ms,170ms,0.5%,0.715
1167,70ms,170ms,1.0%,0.695
1168,70ms,170ms,1.5%,0.621
1169,70ms,170ms,2.0%,0.676
1170,70ms,170ms,2.5%,0.9
1171,80ms,0ms,0.0%,0.969
1172,80ms,0ms,0.5%,0.984
1173,80ms,0ms,1.0%,0.978
1174,80ms,0ms,1.5%,0.921
1175,80ms,0ms,2.0%,0.996
1176,80ms,0ms,2.5%,0.991
1177,80ms,0ms,3.0%,0.935
1178,80ms,10ms,0.0%,0.997
1179,80ms,10ms,0.5%,0.945
1180,80ms,10ms,1.0%,0.936
1181,80ms,10ms,1.5%,0.945
1182,80ms,10ms,2.0%,0.936
1183,80ms,10ms,2.5%,0.936
1184,80ms,10ms,3.0%,0.943
1185,80ms,20ms,0.0%,0.949
1186,80ms,20ms,0.5%,0.943
1187,80ms,20ms,1.0%,0.948
1188,80ms,20ms,1.5%,0.937
1189,80ms,20ms,2.0%,0.934
1190,80ms,20ms,2.5%,0.919
1191,80ms,20ms,3.0%,0.911
1192,80ms,30ms,0.0%,0.944
1193,80ms,30ms,0.5%,0.964
1194,80ms,30ms,1.0%,0.948
1195,80ms,30ms,1.5%,0.934
1196,80ms,30ms,2.0%,0.864
1197,80ms,30ms,2.5%,0.764
1198,80ms,30ms,3.0%,0.93
1199,80ms,40ms,0.0%,0.937
1200,80ms,40ms,0.5%,0.937
1201,80ms,40ms,1.0%,0.945
1202,80ms,40ms,1.5%,0.857
1203,80ms,40ms,2.0%,0.948
1204,80ms,40ms,2.5%,0.844
1205,80ms,40ms,3.0%,0.931
1206,80ms,50ms,0.0%,0.951
1207,80ms,50ms,0.5%,0.945
1208,80ms,50ms,1.0%,0.787
1209,80ms,50ms,1.5%,0.914
1210,80ms,50ms,2.0%,0.936
1211,80ms,50ms,2.5%,0.929
1212,80ms,50ms,3.0%,0.853
1213,80ms,60ms,0.0%,0.946
1214,80ms,60ms,0.5%,0.937
1215,80ms,60ms,1.0%,0.748
1216,80ms,60ms,1.5%,0.935
1217,80ms,60ms,2.0%,0.936
1218,80ms,60ms,2.5%,0.764
1219,80ms,60ms,3.0%,0.931
1220,80ms,70ms,0.0%,0.869
1221,80ms,70ms,0.5%,0.872
1222,80ms,70ms,1.0%,0.935
1223,80ms,70ms,1.5%,0.733
1224,80ms,70ms,2.0%,0.863
1225,80ms,70ms,2.5%,0.861
1226,80ms,70ms,3.0%,0.931
1227,80ms,80ms,0.0%,0.87
1228,80ms,80ms,0.5%,0.88
1229,80ms,80ms,1.0%,0.941
1230,80ms,80ms,1.5%,0.841
1231,80ms,80ms,2.0%,0.691
1232,80ms,80ms,2.5%,0.9
1233,80ms,80ms,3.0%,0.719
1234,80ms,90ms,0.0%,0.931
1235,80ms,90ms,0.5%,0.868
1236,80ms,90ms,1.0%,0.662
1237,80ms,90ms,1.5%,0.714
1238,80ms,90ms,2.0%,0.926
1239,80ms,90ms,2.5%,0.86
1240,80ms,90ms,3.0%,0.866
1241,80ms,100ms,0.0%,0.791
1242,80ms,100ms,0.5%,0.811
1243,80ms,100ms,1.0%,0.78
1244,80ms,100ms,1.5%,0.727
1245,80ms,100ms,2.0%,0.835
1246,80ms,100ms,2.5%,0.767
1247,80ms,100ms,3.0%,0.9
1248,80ms,110ms,0.0%,0.728
1249,80ms,110ms,0.5%,0.739
1250,80ms,110ms,1.0%,0.649
1251,80ms,110ms,1.5%,0.759
1252,80ms,110ms,2.0%,0.732
1253,80ms,110ms,2.5%,0.726
1254,80ms,110ms,3.0%,0.936
1255,80ms,120ms,0.0%,0.803
1256,80ms,120ms,0.5%,0.762
1257,80ms,120ms,1.0%,0.907
1258,80ms,120ms,1.5%,0.948
1259,80ms,120ms,2.0%,0.897
1260,80ms,120ms,2.5%,0.723
1261,80ms,120ms,3.0%,0.693
1262,80ms,130ms,0.0%,0.857
1263,80ms,130ms,0.5%,0.869
1264,80ms,130ms,1.0%,0.679
1265,80ms,130ms,1.5%,0.757
1266,80ms,130ms,2.0%,0.736
1267,80ms,130ms,2.5%,0.852
1268,80ms,130ms,3.0%,0.768
1269,80ms,140ms,0.0%,0.701
1270,80ms,140ms,0.5%,0.741
1271,80ms,140ms,1.0%,0.797
1272,80ms,140ms,1.5%,0.67
1273,80ms,140ms,2.0%,0.803
1274,80ms,140ms,2.5%,0.742
1275,80ms,140ms,3.0%,0.698
1276,80ms,150ms,0.0%,0.749
1277,80ms,150ms,0.5%,0.858
1278,80ms,150ms,1.0%,0.685
1279,80ms,150ms,1.5%,0.691
1280,80ms,150ms,2.0%,0.668
1281,80ms,150ms,2.5%,0.613
1282,80ms,150ms,3.0%,0.791
1283,80ms,160ms,0.0%,0.69
1284,80ms,160ms,0.5%,0.723
1285,80ms,160ms,1.0%,0.726
1286,80ms,160ms,1.5%,0.733
1287,80ms,160ms,2.0%,0.681
1288,80ms,160ms,2.5%,0.664
1289,80ms,160ms,3.0%,0.819
1290,80ms,170ms,0.0%,0.676
1291,80ms,170ms,0.5%,0.737
1292,80ms,170ms,1.0%,0.679
1293,80ms,170ms,1.5%,0.555
1294,80ms,170ms,2.0%,0.673
1295,80ms,170ms,2.5%,0.784
1296,80ms,170ms,3.0%,0.691
1297,80ms,180ms,0.0%,0.673
1298,80ms,180ms,0.5%,0.74
1299,80ms,180ms,1.0%,0.604
1300,80ms,180ms,1.5%,0.663
1301,80ms,180ms,2.0%,0.784
1302,80ms,180ms,2.5%,0.693
1303,80ms,180ms,3.0%,0.735
1304,80ms,190ms,0.0%,0.857
1305,80ms,190ms,0.5%,0.682
1306,80ms,190ms,1.0%,0.679
1307,80ms,190ms,1.5%,0.678
1308,80ms,190ms,2.0%,0.701
1309,80ms,190ms,2.5%,0.708
1310,80ms,200ms,0.0%,0.662
1311,80ms,200ms,0.5%,0.673
1312,80ms,200ms,1.0%,0.668
1313,80ms,200ms,1.5%,0.663
1314,80ms,200ms,2.0%,0.803
1315,80ms,200ms,2.5%,0.678
1316,80ms,200ms,3.0%,0.673
1317,90ms,0ms,0.0%,0.997
1318,90ms,0ms,0.5%,0.999
1319,90ms,0ms,1.0%,0.937
1320,90ms,0ms,1.5%,0.997
1321,90ms,0ms,2.0%,0.907
1322,90ms,0ms,2.5%,0.94
1323,90ms,0ms,3.0%,0.909
1324,90ms,10ms,0.0%,0.951
1325,90ms,10ms,0.5%,0.944
1326,90ms,10ms,1.0%,0.949
1327,90ms,10ms,1.5%,0.828
1328,90ms,10ms,2.0%,0.946
1329,90ms,10ms,2.5%,0.935
1330,90ms,10ms,3.0%,0.868
1331,90ms,20ms,0.0%,0.947
1332,90ms,20ms,0.5%,0.951
1333,90ms,20ms,1.0%,0.943
1334,90ms,20ms,1.5%,0.891
1335,90ms,20ms,2.0%,0.93
1336,90ms,20ms,2.5%,0.891
1337,90ms,20ms,3.0%,0.929
1338,90ms,30ms,0.0%,0.945
1339,90ms,30ms,0.5%,0.936
1340,90ms,30ms,1.0%,0.937
1341,90ms,30ms,1.5%,0.828
1342,90ms,30ms,2.0%,0.815
1343,90ms,30ms,2.5%,0.872
1344,90ms,30ms,3.0%,0.781
1345,90ms,40ms,0.0%,0.951
1346,90ms,40ms,0.5%,0.93
1347,90ms,40ms,1.0%,0.931
1348,90ms,40ms,1.5%,0.946
1349,90ms,40ms,2.0%,0.935
1350,90ms,40ms,2.5%,0.883
1351,90ms,40ms,3.0%,0.94
1352,90ms,50ms,0.0%,0.951
1353,90ms,50ms,0.5%,0.937
1354,90ms,50ms,1.0%,0.933
1355,90ms,50ms,1.5%,0.93
1356,90ms,50ms,2.0%,0.86
1357,90ms,50ms,2.5%,0.868
1358,90ms,50ms,3.0%,0.861
1359,90ms,60ms,0.0%,0.948
1360,90ms,60ms,0.5%,0.946
1361,90ms,60ms,1.0%,0.906
1362,90ms,60ms,1.5%,0.944
1363,90ms,60ms,2.0%,0.947
1364,90ms,60ms,2.5%,0.903
1365,90ms,60ms,3.0%,0.862
1366,90ms,70ms,0.0%,0.778
1367,90ms,70ms,0.5%,0.933
1368,90ms,70ms,1.0%,0.935
1369,90ms,70ms,1.5%,0.863
1370,90ms,70ms,2.0%,0.946
1371,90ms,70ms,2.5%,0.936
1372,90ms,70ms,3.0%,0.876
1373,90ms,80ms,0.0%,0.835
1374,90ms,80ms,0.5%,0.921
1375,90ms,80ms,1.0%,0.892
1376,90ms,80ms,1.5%,0.923
1377,90ms,80ms,2.0%,0.837
1378,90ms,80ms,2.5%,0.692
1379,90ms,80ms,3.0%,0.798
1380,90ms,90ms,0.0%,0.842
1381,90ms,90ms,0.5%,0.918
1382,90ms,90ms,1.0%,0.764
1383,90ms,90ms,1.5%,0.77
1384,90ms,90ms,2.0%,0.732
1385,90ms,90ms,2.5%,0.79
1386,90ms,90ms,3.0%,0.865
1387,90ms,100ms,0.0%,0.887
1388,90ms,100ms,0.5%,0.726
1389,90ms,100ms,1.0%,0.869
1390,90ms,100ms,1.5%,0.754
1391,90ms,100ms,2.0%,0.874
1392,90ms,100ms,2.5%,0.691
1393,90ms,100ms,3.0%,0.644
1394,90ms,110ms,0.0%,0.884
1395,90ms,110ms,0.5%,0.677
1396,90ms,110ms,1.0%,0.741
1397,90ms,110ms,1.5%,0.924
1398,90ms,110ms,2.0%,0.73
1399,90ms,110ms,2.5%,0.82
1400,90ms,110ms,3.0%,0.692
1401,90ms,120ms,0.0%,0.776
1402,90ms,120ms,0.5%,0.687
1403,90ms,120ms,1.0%,0.842
1404,90ms,120ms,1.5%,0.727
1405,90ms,120ms,2.0%,0.982
1406,90ms,120ms,2.5%,0.701
1407,90ms,120ms,3.0%,0.806
1408,90ms,130ms,0.0%,0.696
1409,90ms,130ms,0.5%,0.665
1410,90ms,130ms,1.0%,0.692
1411,90ms,130ms,1.5%,0.868
1412,90ms,130ms,2.0%,0.713
1413,90ms,130ms,2.5%,0.664
1414,90ms,130ms,3.0%,0.728
1415,90ms,140ms,0.0%,0.729
1416,90ms,140ms,0.5%,0.683
1417,90ms,140ms,1.0%,0.925
1418,90ms,140ms,1.5%,0.756
1419,90ms,140ms,2.0%,0.704
1420,90ms,140ms,2.5%,0.68
1421,90ms,140ms,3.0%,0.815
1422,90ms,150ms,0.0%,0.722
1423,90ms,150ms,0.5%,0.601
1424,90ms,150ms,1.0%,0.703
1425,90ms,150ms,1.5%,0.856
1426,90ms,150ms,2.0%,0.688
1427,90ms,150ms,2.5%,0.686
1428,90ms,150ms,3.0%,0.721
1429,90ms,160ms,0.0%,0.717
1430,90ms,160ms,0.5%,0.715
1431,90ms,160ms,1.0%,0.691
1432,90ms,160ms,1.5%,0.766
1433,90ms,160ms,2.0%,0.735
1434,90ms,160ms,2.5%,0.771
1435,90ms,160ms,3.0%,0.686
1436,90ms,170ms,0.0%,0.67
1437,90ms,170ms,0.5%,0.852
1438,90ms,170ms,1.0%,0.819
1439,90ms,170ms,1.5%,0.852
1440,90ms,170ms,2.0%,0.668
1441,90ms,170ms,2.5%,0.685
1442,90ms,170ms,3.0%,0.667
1443,90ms,180ms,0.0%,0.792
